Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Apple,"['Garlic', 'Honey', 'Parmesan']","['Cucumber', 'Peanut Butter']",French,Fall,Supports Digestion,25,8,"['D', 'A']"
Chicken,"['Ginger', 'Honey', 'Olive Oil']","['Peanut Butter', 'Banana']",Indian,Winter,Rich in Antioxidants,30,18,"['E', 'B']"
Pumpkin,"['Soy Sauce', 'Ginger', 'Parmesan']","['Peanut Butter', 'Banana']",Mexican,Summer,Boosts Immunity,15,15,"['E', 'C']"
Brussels Sprouts,"['Honey', 'Rosemary', 'Olive Oil']","['Orange', 'Banana']",Chinese,Summer,Good for Heart Health,15,2,"['B', 'K']"
Carrot,"['Ginger', 'Parmesan', 'Olive Oil']","['Coffee', 'Banana']",Italian,Fall,High in Protein,20,12,"['B', 'K']"
Tomato,"['Soy Sauce', 'Honey', 'Ginger']","['Peanut Butter', 'Vinegar']",American,Summer,Good for Heart Health,30,18,"['C', 'D']"
Tomato,"['Lemon', 'Thyme', 'Rosemary']","['Tea', 'Coffee']",American,Winter,Supports Digestion,25,18,"['A', 'C']"
Asparagus,"['Soy Sauce', 'Basil', 'Lemon']","['Tea', 'Banana']",Italian,Spring,Good for Heart Health,20,15,"['K', 'A']"
Pumpkin,"['Parmesan', 'Honey', 'Rosemary']","['Banana', 'Chocolate']",Chinese,Spring,Supports Digestion,30,18,"['C', 'E']"
Apple,"['Olive Oil', 'Basil', 'Rosemary']","['Ketchup', 'Orange']",Chinese,Spring,Boosts Immunity,20,12,"['A', 'D']"
Mushroom,"['Olive Oil', 'Garlic', 'Rosemary']","['Milk', 'Coffee']",American,Summer,Boosts Immunity,5,2,"['C', 'E']"
Salmon,"['Rosemary', 'Honey', 'Lemon']","['Banana', 'Vinegar']",American,Fall,Boosts Immunity,25,2,"['D', 'C']"
Carrot,"['Rosemary', 'Garlic', 'Thyme']","['Peanut Butter', 'Orange']",French,Summer,Supports Digestion,15,18,"['K', 'A']"
Salmon,"['Lemon', 'Ginger', 'Olive Oil']","['Tea', 'Coffee']",Chinese,Fall,Supports Digestion,30,18,"['K', 'A']"
Chicken,"['Honey', 'Garlic', 'Basil']","['Peanut Butter', 'Chocolate']",French,Winter,Good for Heart Health,20,8,"['B', 'E']"
Pumpkin,"['Olive Oil', 'Honey', 'Parmesan']","['Tea', 'Coffee']",Thai,Fall,Supports Digestion,30,5,"['C', 'D']"
Brussels Sprouts,"['Rosemary', 'Lemon', 'Ginger']","['Coffee', 'Chocolate']",Thai,Fall,Good for Heart Health,15,2,"['E', 'D']"
Salmon,"['Rosemary', 'Honey', 'Parmesan']","['Peanut Butter', 'Tea']",French,Winter,Supports Digestion,30,2,"['C', 'K']"
Tomato,"['Olive Oil', 'Ginger', 'Rosemary']","['Orange', 'Coffee']",Italian,Summer,Good for Heart Health,5,18,"['D', 'K']"
Pumpkin,"['Thyme', 'Basil', 'Rosemary']","['Milk', 'Ketchup']",Thai,Summer,High in Protein,5,12,"['C', 'D']"
Chicken,"['Honey', 'Rosemary', 'Ginger']","['Tea', 'Orange']",Thai,Fall,Boosts Immunity,20,18,"['A', 'B']"
Brussels Sprouts,"['Lemon', 'Parmesan', 'Rosemary']","['Vinegar', 'Milk']",Mediterranean,Fall,Good for Heart Health,10,18,"['D', 'E']"
Apple,"['Basil', 'Garlic', 'Honey']","['Coffee', 'Banana']",American,Summer,High in Protein,25,18,"['K', 'A']"
Beef,"['Soy Sauce', 'Thyme', 'Parmesan']","['Banana', 'Milk']",American,Spring,Good for Heart Health,5,2,"['C', 'A']"
Pumpkin,"['Soy Sauce', 'Rosemary', 'Thyme']","['Tea', 'Banana']",Thai,Summer,High in Protein,5,18,"['C', 'B']"
Mushroom,"['Lemon', 'Rosemary', 'Garlic']","['Chocolate', 'Peanut Butter']",American,Summer,Boosts Immunity,5,15,"['B', 'D']"
Brussels Sprouts,"['Soy Sauce', 'Honey', 'Olive Oil']","['Orange', 'Chocolate']",Mexican,Winter,Rich in Antioxidants,15,18,"['A', 'B']"
Beef,"['Ginger', 'Olive Oil', 'Lemon']","['Coffee', 'Banana']",Chinese,Spring,Supports Digestion,20,15,"['C', 'A']"
Apple,"['Basil', 'Ginger', 'Lemon']","['Milk', 'Banana']",Thai,Summer,Rich in Antioxidants,30,8,"['E', 'D']"
Beef,"['Thyme', 'Rosemary', 'Garlic']","['Tea', 'Chocolate']",Mediterranean,Winter,Good for Heart Health,10,12,"['C', 'A']"
Tomato,"['Parmesan', 'Rosemary', 'Olive Oil']","['Vinegar', 'Chocolate']",American,Winter,Rich in Antioxidants,30,15,"['E', 'C']"
Chicken,"['Ginger', 'Olive Oil', 'Rosemary']","['Vinegar', 'Tea']",Korean,Spring,Good for Heart Health,10,15,"['B', 'D']"
Asparagus,"['Rosemary', 'Parmesan', 'Thyme']","['Banana', 'Peanut Butter']",Japanese,Spring,Boosts Immunity,25,8,"['B', 'K']"
Beef,"['Garlic', 'Parmesan', 'Lemon']","['Tea', 'Orange']",French,Fall,Rich in Antioxidants,10,2,"['D', 'A']"
Asparagus,"['Parmesan', 'Rosemary', 'Olive Oil']","['Coffee', 'Cucumber']",Chinese,Fall,Rich in Antioxidants,20,18,"['A', 'D']"
Chicken,"['Lemon', 'Thyme', 'Parmesan']","['Vinegar', 'Milk']",Mediterranean,Fall,Boosts Immunity,15,5,"['D', 'E']"
Brussels Sprouts,"['Lemon', 'Honey', 'Olive Oil']","['Coffee', 'Ketchup']",Mexican,Summer,Rich in Antioxidants,25,15,"['D', 'E']"
Beef,"['Soy Sauce', 'Thyme', 'Rosemary']","['Milk', 'Peanut Butter']",Mexican,Spring,Boosts Immunity,20,12,"['D', 'E']"
Mushroom,"['Honey', 'Lemon', 'Garlic']","['Cucumber', 'Milk']",French,Spring,Good for Heart Health,10,8,"['E', 'D']"
Mushroom,"['Lemon', 'Honey', 'Soy Sauce']","['Cucumber', 'Vinegar']",French,Winter,Rich in Antioxidants,15,2,"['K', 'C']"
Brussels Sprouts,"['Garlic', 'Rosemary', 'Olive Oil']","['Ketchup', 'Cucumber']",Mediterranean,Fall,Boosts Immunity,15,2,"['A', 'D']"
Chicken,"['Garlic', 'Parmesan', 'Thyme']","['Milk', 'Vinegar']",Mediterranean,Summer,High in Protein,25,8,"['A', 'D']"
Chicken,"['Soy Sauce', 'Garlic', 'Lemon']","['Vinegar', 'Chocolate']",Italian,Summer,Supports Digestion,10,18,"['D', 'K']"
Chicken,"['Ginger', 'Lemon', 'Olive Oil']","['Cucumber', 'Ketchup']",Mediterranean,Winter,Boosts Immunity,25,12,"['E', 'C']"
Mushroom,"['Basil', 'Honey', 'Ginger']","['Orange', 'Coffee']",American,Summer,Good for Heart Health,20,12,"['C', 'K']"
Chicken,"['Ginger', 'Garlic', 'Rosemary']","['Milk', 'Banana']",Mexican,Summer,Boosts Immunity,5,12,"['K', 'D']"
Apple,"['Thyme', 'Olive Oil', 'Rosemary']","['Milk', 'Ketchup']",Thai,Fall,Boosts Immunity,5,8,"['C', 'D']"
Salmon,"['Lemon', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Cucumber']",Mediterranean,Summer,High in Protein,25,15,"['B', 'A']"
Apple,"['Parmesan', 'Basil', 'Lemon']","['Tea', 'Coffee']",American,Fall,High in Protein,25,5,"['E', 'C']"
Beef,"['Lemon', 'Olive Oil', 'Thyme']","['Coffee', 'Peanut Butter']",French,Summer,Rich in Antioxidants,25,15,"['B', 'E']"
Chicken,"['Honey', 'Rosemary', 'Lemon']","['Chocolate', 'Banana']",Thai,Fall,Boosts Immunity,30,8,"['A', 'B']"
Asparagus,"['Thyme', 'Rosemary', 'Garlic']","['Tea', 'Vinegar']",Italian,Summer,Supports Digestion,30,8,"['C', 'B']"
Tomato,"['Garlic', 'Soy Sauce', 'Thyme']","['Ketchup', 'Chocolate']",Mexican,Winter,Good for Heart Health,30,2,"['E', 'B']"
Tomato,"['Ginger', 'Basil', 'Parmesan']","['Orange', 'Banana']",Mexican,Winter,Rich in Antioxidants,5,12,"['K', 'A']"
Chicken,"['Garlic', 'Rosemary', 'Lemon']","['Tea', 'Ketchup']",Thai,Spring,Supports Digestion,30,15,"['K', 'A']"
Carrot,"['Soy Sauce', 'Basil', 'Parmesan']","['Orange', 'Coffee']",Korean,Winter,High in Protein,5,18,"['A', 'B']"
Apple,"['Parmesan', 'Lemon', 'Rosemary']","['Cucumber', 'Banana']",Chinese,Summer,Supports Digestion,10,8,"['A', 'B']"
Apple,"['Olive Oil', 'Rosemary', 'Ginger']","['Chocolate', 'Milk']",Mediterranean,Spring,Boosts Immunity,30,5,"['A', 'K']"
Asparagus,"['Soy Sauce', 'Basil', 'Olive Oil']","['Banana', 'Orange']",American,Summer,Supports Digestion,25,8,"['A', 'D']"
Asparagus,"['Ginger', 'Thyme', 'Soy Sauce']","['Orange', 'Vinegar']",Mediterranean,Spring,Good for Heart Health,20,8,"['D', 'C']"
Salmon,"['Olive Oil', 'Garlic', 'Lemon']","['Ketchup', 'Orange']",Chinese,Spring,High in Protein,15,5,"['D', 'A']"
Tomato,"['Ginger', 'Parmesan', 'Thyme']","['Banana', 'Cucumber']",Japanese,Summer,High in Protein,10,8,"['B', 'E']"
Carrot,"['Garlic', 'Soy Sauce', 'Rosemary']","['Coffee', 'Ketchup']",Indian,Summer,Supports Digestion,15,8,"['K', 'A']"
Mushroom,"['Soy Sauce', 'Thyme', 'Basil']","['Orange', 'Peanut Butter']",Indian,Winter,High in Protein,20,18,"['E', 'D']"
Mushroom,"['Lemon', 'Rosemary', 'Honey']","['Coffee', 'Tea']",French,Spring,Good for Heart Health,15,5,"['K', 'B']"
Salmon,"['Rosemary', 'Thyme', 'Basil']","['Coffee', 'Cucumber']",Italian,Winter,High in Protein,10,8,"['E', 'B']"
Apple,"['Garlic', 'Soy Sauce', 'Honey']","['Orange', 'Chocolate']",French,Fall,Good for Heart Health,25,18,"['C', 'B']"
Beef,"['Olive Oil', 'Ginger', 'Basil']","['Chocolate', 'Ketchup']",Italian,Spring,Good for Heart Health,30,12,"['B', 'K']"
Pumpkin,"['Lemon', 'Honey', 'Basil']","['Peanut Butter', 'Chocolate']",Mediterranean,Spring,High in Protein,5,12,"['C', 'B']"
Apple,"['Basil', 'Thyme', 'Lemon']","['Cucumber', 'Orange']",Indian,Summer,Boosts Immunity,30,18,"['B', 'C']"
Brussels Sprouts,"['Basil', 'Soy Sauce', 'Olive Oil']","['Milk', 'Tea']",American,Summer,Supports Digestion,30,2,"['D', 'K']"
Chicken,"['Parmesan', 'Rosemary', 'Thyme']","['Peanut Butter', 'Chocolate']",Chinese,Summer,High in Protein,10,8,"['E', 'D']"
Mushroom,"['Olive Oil', 'Lemon', 'Soy Sauce']","['Tea', 'Coffee']",American,Summer,Boosts Immunity,10,18,"['D', 'A']"
Chicken,"['Honey', 'Parmesan', 'Rosemary']","['Ketchup', 'Cucumber']",Indian,Winter,Rich in Antioxidants,20,8,"['E', 'C']"
Mushroom,"['Basil', 'Parmesan', 'Honey']","['Tea', 'Banana']",Indian,Winter,Good for Heart Health,20,12,"['D', 'B']"
Tomato,"['Soy Sauce', 'Basil', 'Olive Oil']","['Cucumber', 'Tea']",American,Winter,High in Protein,10,12,"['D', 'A']"
Mushroom,"['Ginger', 'Basil', 'Olive Oil']","['Peanut Butter', 'Chocolate']",Thai,Winter,Supports Digestion,10,12,"['B', 'E']"
Pumpkin,"['Rosemary', 'Thyme', 'Ginger']","['Ketchup', 'Vinegar']",Japanese,Winter,Boosts Immunity,20,18,"['E', 'K']"
Asparagus,"['Parmesan', 'Ginger', 'Garlic']","['Banana', 'Vinegar']",Chinese,Spring,Supports Digestion,5,8,"['C', 'D']"
Salmon,"['Rosemary', 'Lemon', 'Honey']","['Milk', 'Cucumber']",Italian,Spring,High in Protein,10,8,"['E', 'K']"
Mushroom,"['Honey', 'Lemon', 'Ginger']","['Chocolate', 'Cucumber']",Korean,Winter,Good for Heart Health,25,8,"['K', 'E']"
Salmon,"['Rosemary', 'Basil', 'Honey']","['Milk', 'Tea']",Chinese,Winter,High in Protein,10,12,"['A', 'E']"
Pumpkin,"['Garlic', 'Soy Sauce', 'Parmesan']","['Peanut Butter', 'Cucumber']",Thai,Fall,Supports Digestion,20,8,"['E', 'A']"
Mushroom,"['Lemon', 'Basil', 'Ginger']","['Banana', 'Milk']",French,Fall,High in Protein,25,18,"['A', 'K']"
Asparagus,"['Rosemary', 'Lemon', 'Parmesan']","['Tea', 'Vinegar']",Indian,Summer,Supports Digestion,25,12,"['A', 'K']"
Pumpkin,"['Garlic', 'Parmesan', 'Soy Sauce']","['Ketchup', 'Chocolate']",Japanese,Summer,Good for Heart Health,25,18,"['C', 'B']"
Pumpkin,"['Olive Oil', 'Parmesan', 'Ginger']","['Tea', 'Orange']",Italian,Winter,Boosts Immunity,5,5,"['A', 'E']"
Beef,"['Honey', 'Lemon', 'Parmesan']","['Tea', 'Milk']",Italian,Winter,Good for Heart Health,20,2,"['K', 'D']"
Apple,"['Lemon', 'Soy Sauce', 'Rosemary']","['Coffee', 'Milk']",Chinese,Summer,Good for Heart Health,25,8,"['A', 'E']"
Salmon,"['Parmesan', 'Garlic', 'Thyme']","['Orange', 'Ketchup']",Korean,Winter,High in Protein,20,15,"['E', 'B']"
Tomato,"['Olive Oil', 'Honey', 'Basil']","['Peanut Butter', 'Ketchup']",Thai,Winter,Rich in Antioxidants,5,8,"['E', 'C']"
Asparagus,"['Lemon', 'Soy Sauce', 'Parmesan']","['Tea', 'Peanut Butter']",Thai,Fall,Good for Heart Health,10,12,"['E', 'D']"
Salmon,"['Lemon', 'Basil', 'Garlic']","['Orange', 'Banana']",Thai,Fall,Boosts Immunity,10,2,"['C', 'E']"
Carrot,"['Thyme', 'Rosemary', 'Olive Oil']","['Ketchup', 'Coffee']",Mediterranean,Summer,Boosts Immunity,30,18,"['A', 'C']"
Pumpkin,"['Rosemary', 'Olive Oil', 'Honey']","['Banana', 'Chocolate']",Chinese,Fall,Rich in Antioxidants,15,15,"['D', 'C']"
Chicken,"['Rosemary', 'Parmesan', 'Soy Sauce']","['Tea', 'Milk']",American,Spring,Boosts Immunity,25,8,"['K', 'A']"
Brussels Sprouts,"['Basil', 'Lemon', 'Honey']","['Chocolate', 'Orange']",Japanese,Spring,Boosts Immunity,25,18,"['K', 'A']"
Tomato,"['Ginger', 'Thyme', 'Honey']","['Cucumber', 'Coffee']",Mexican,Spring,Rich in Antioxidants,30,18,"['D', 'C']"
Tomato,"['Garlic', 'Lemon', 'Soy Sauce']","['Tea', 'Cucumber']",American,Winter,Supports Digestion,15,8,"['K', 'E']"
Salmon,"['Basil', 'Ginger', 'Thyme']","['Cucumber', 'Banana']",Italian,Spring,Rich in Antioxidants,5,2,"['K', 'E']"
Asparagus,"['Olive Oil', 'Honey', 'Lemon']","['Tea', 'Coffee']",Indian,Fall,High in Protein,5,8,"['E', 'D']"
Mushroom,"['Ginger', 'Soy Sauce', 'Thyme']","['Tea', 'Cucumber']",Thai,Spring,Boosts Immunity,30,18,"['D', 'E']"
Chicken,"['Thyme', 'Olive Oil', 'Basil']","['Peanut Butter', 'Chocolate']",Korean,Fall,High in Protein,20,5,"['B', 'E']"
Beef,"['Parmesan', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Coffee']",Chinese,Fall,Supports Digestion,20,8,"['E', 'B']"
Salmon,"['Honey', 'Parmesan', 'Soy Sauce']","['Tea', 'Peanut Butter']",Mexican,Winter,Boosts Immunity,15,18,"['A', 'C']"
Mushroom,"['Basil', 'Thyme', 'Parmesan']","['Orange', 'Chocolate']",Thai,Winter,Rich in Antioxidants,10,18,"['E', 'A']"
Carrot,"['Parmesan', 'Basil', 'Soy Sauce']","['Milk', 'Orange']",Japanese,Fall,High in Protein,10,12,"['K', 'A']"
Asparagus,"['Honey', 'Lemon', 'Soy Sauce']","['Peanut Butter', 'Vinegar']",Mexican,Winter,Supports Digestion,10,15,"['A', 'E']"
Brussels Sprouts,"['Olive Oil', 'Ginger', 'Rosemary']","['Banana', 'Orange']",Korean,Summer,Rich in Antioxidants,10,18,"['D', 'K']"
Pumpkin,"['Ginger', 'Honey', 'Soy Sauce']","['Peanut Butter', 'Chocolate']",Italian,Spring,Good for Heart Health,5,2,"['C', 'A']"
Brussels Sprouts,"['Soy Sauce', 'Honey', 'Lemon']","['Coffee', 'Tea']",Mediterranean,Summer,Good for Heart Health,15,2,"['A', 'K']"
Tomato,"['Olive Oil', 'Honey', 'Thyme']","['Milk', 'Ketchup']",Indian,Summer,Supports Digestion,25,5,"['A', 'E']"
Tomato,"['Honey', 'Rosemary', 'Thyme']","['Milk', 'Orange']",Thai,Summer,Good for Heart Health,20,15,"['D', 'B']"
Brussels Sprouts,"['Parmesan', 'Garlic', 'Basil']","['Banana', 'Peanut Butter']",Chinese,Winter,Boosts Immunity,25,5,"['C', 'D']"
Beef,"['Olive Oil', 'Soy Sauce', 'Honey']","['Vinegar', 'Chocolate']",Mexican,Fall,High in Protein,5,8,"['D', 'A']"
Carrot,"['Rosemary', 'Lemon', 'Honey']","['Milk', 'Tea']",Korean,Spring,High in Protein,20,5,"['D', 'A']"
Pumpkin,"['Ginger', 'Basil', 'Olive Oil']","['Chocolate', 'Vinegar']",Italian,Summer,Boosts Immunity,5,2,"['D', 'C']"
Salmon,"['Rosemary', 'Lemon', 'Thyme']","['Banana', 'Peanut Butter']",Italian,Summer,Good for Heart Health,25,15,"['B', 'D']"
Pumpkin,"['Thyme', 'Parmesan', 'Garlic']","['Ketchup', 'Coffee']",French,Fall,High in Protein,20,2,"['K', 'A']"
Pumpkin,"['Ginger', 'Basil', 'Lemon']","['Ketchup', 'Peanut Butter']",Korean,Spring,High in Protein,30,5,"['A', 'E']"
Salmon,"['Basil', 'Ginger', 'Honey']","['Coffee', 'Chocolate']",Indian,Summer,Good for Heart Health,30,2,"['A', 'C']"
Asparagus,"['Honey', 'Lemon', 'Ginger']","['Orange', 'Vinegar']",Mediterranean,Spring,Supports Digestion,15,18,"['C', 'B']"
Chicken,"['Rosemary', 'Soy Sauce', 'Garlic']","['Milk', 'Tea']",Korean,Winter,High in Protein,30,2,"['E', 'C']"
Mushroom,"['Olive Oil', 'Garlic', 'Honey']","['Ketchup', 'Coffee']",Chinese,Summer,High in Protein,25,2,"['A', 'C']"
Pumpkin,"['Garlic', 'Rosemary', 'Honey']","['Orange', 'Banana']",Chinese,Summer,Rich in Antioxidants,30,15,"['A', 'K']"
Beef,"['Parmesan', 'Thyme', 'Lemon']","['Cucumber', 'Orange']",French,Fall,Rich in Antioxidants,5,5,"['A', 'D']"
Chicken,"['Soy Sauce', 'Honey', 'Olive Oil']","['Tea', 'Banana']",Japanese,Spring,Rich in Antioxidants,10,18,"['B', 'A']"
Beef,"['Rosemary', 'Parmesan', 'Soy Sauce']","['Tea', 'Chocolate']",Indian,Spring,Boosts Immunity,30,18,"['C', 'E']"
Apple,"['Parmesan', 'Rosemary', 'Olive Oil']","['Coffee', 'Tea']",Indian,Summer,Boosts Immunity,5,2,"['D', 'K']"
Mushroom,"['Honey', 'Garlic', 'Soy Sauce']","['Vinegar', 'Cucumber']",Thai,Spring,Boosts Immunity,5,12,"['B', 'C']"
Pumpkin,"['Thyme', 'Garlic', 'Basil']","['Coffee', 'Banana']",Thai,Winter,High in Protein,30,5,"['B', 'D']"
Chicken,"['Thyme', 'Honey', 'Soy Sauce']","['Ketchup', 'Milk']",Chinese,Spring,Rich in Antioxidants,15,15,"['B', 'K']"
Brussels Sprouts,"['Rosemary', 'Ginger', 'Thyme']","['Orange', 'Milk']",American,Winter,Supports Digestion,10,2,"['B', 'A']"
Pumpkin,"['Honey', 'Garlic', 'Olive Oil']","['Coffee', 'Peanut Butter']",French,Spring,Rich in Antioxidants,5,5,"['D', 'C']"
Chicken,"['Thyme', 'Garlic', 'Honey']","['Orange', 'Coffee']",American,Spring,Boosts Immunity,5,5,"['A', 'D']"
Apple,"['Honey', 'Parmesan', 'Basil']","['Chocolate', 'Milk']",Thai,Summer,High in Protein,10,12,"['E', 'B']"
Salmon,"['Garlic', 'Ginger', 'Olive Oil']","['Cucumber', 'Orange']",Chinese,Spring,Rich in Antioxidants,25,15,"['E', 'C']"
Brussels Sprouts,"['Parmesan', 'Lemon', 'Garlic']","['Cucumber', 'Ketchup']",Mediterranean,Summer,Supports Digestion,10,2,"['D', 'B']"
Asparagus,"['Honey', 'Soy Sauce', 'Thyme']","['Peanut Butter', 'Milk']",Korean,Winter,Good for Heart Health,10,18,"['E', 'K']"
Tomato,"['Basil', 'Thyme', 'Soy Sauce']","['Tea', 'Chocolate']",Korean,Spring,Supports Digestion,15,2,"['E', 'C']"
Chicken,"['Soy Sauce', 'Thyme', 'Parmesan']","['Cucumber', 'Chocolate']",Italian,Summer,Good for Heart Health,15,12,"['D', 'E']"
Salmon,"['Thyme', 'Ginger', 'Basil']","['Coffee', 'Banana']",Japanese,Fall,Good for Heart Health,20,8,"['C', 'K']"
Carrot,"['Garlic', 'Rosemary', 'Honey']","['Cucumber', 'Orange']",French,Spring,Supports Digestion,5,2,"['B', 'A']"
Tomato,"['Lemon', 'Garlic', 'Thyme']","['Tea', 'Chocolate']",Mediterranean,Fall,Rich in Antioxidants,10,8,"['C', 'E']"
Beef,"['Parmesan', 'Garlic', 'Honey']","['Tea', 'Ketchup']",Mediterranean,Spring,Good for Heart Health,5,5,"['D', 'E']"
Salmon,"['Garlic', 'Honey', 'Thyme']","['Ketchup', 'Cucumber']",Italian,Spring,Good for Heart Health,30,12,"['E', 'C']"
Carrot,"['Garlic', 'Ginger', 'Rosemary']","['Milk', 'Coffee']",Italian,Spring,Rich in Antioxidants,15,2,"['D', 'K']"
Mushroom,"['Honey', 'Ginger', 'Rosemary']","['Peanut Butter', 'Cucumber']",American,Winter,Good for Heart Health,5,18,"['A', 'B']"
Asparagus,"['Lemon', 'Thyme', 'Soy Sauce']","['Banana', 'Coffee']",Thai,Fall,High in Protein,15,18,"['C', 'K']"
Mushroom,"['Olive Oil', 'Basil', 'Garlic']","['Milk', 'Chocolate']",American,Winter,High in Protein,30,18,"['A', 'B']"
Carrot,"['Rosemary', 'Garlic', 'Honey']","['Orange', 'Coffee']",Thai,Spring,Rich in Antioxidants,5,8,"['A', 'K']"
Tomato,"['Thyme', 'Garlic', 'Parmesan']","['Coffee', 'Orange']",Mexican,Spring,High in Protein,30,18,"['A', 'B']"
Apple,"['Parmesan', 'Rosemary', 'Garlic']","['Orange', 'Vinegar']",Thai,Spring,High in Protein,15,8,"['B', 'C']"
Salmon,"['Rosemary', 'Parmesan', 'Ginger']","['Coffee', 'Orange']",Indian,Winter,Rich in Antioxidants,25,2,"['A', 'C']"
Mushroom,"['Parmesan', 'Ginger', 'Honey']","['Coffee', 'Tea']",Chinese,Fall,Rich in Antioxidants,10,8,"['C', 'D']"
Pumpkin,"['Rosemary', 'Ginger', 'Thyme']","['Peanut Butter', 'Vinegar']",Indian,Summer,Supports Digestion,20,8,"['B', 'A']"
Chicken,"['Ginger', 'Rosemary', 'Parmesan']","['Vinegar', 'Chocolate']",Indian,Winter,Good for Heart Health,5,12,"['C', 'D']"
Beef,"['Thyme', 'Basil', 'Soy Sauce']","['Peanut Butter', 'Banana']",Italian,Spring,Good for Heart Health,30,8,"['E', 'C']"
Beef,"['Olive Oil', 'Garlic', 'Rosemary']","['Coffee', 'Milk']",Chinese,Spring,High in Protein,20,5,"['B', 'E']"
Tomato,"['Garlic', 'Soy Sauce', 'Thyme']","['Cucumber', 'Orange']",Mexican,Summer,High in Protein,30,8,"['A', 'E']"
Tomato,"['Parmesan', 'Garlic', 'Soy Sauce']","['Tea', 'Cucumber']",French,Spring,High in Protein,15,5,"['C', 'K']"
Chicken,"['Soy Sauce', 'Basil', 'Ginger']","['Tea', 'Banana']",Mediterranean,Winter,Rich in Antioxidants,20,18,"['A', 'E']"
Carrot,"['Thyme', 'Parmesan', 'Soy Sauce']","['Peanut Butter', 'Orange']",American,Summer,Rich in Antioxidants,15,15,"['D', 'K']"
Brussels Sprouts,"['Soy Sauce', 'Olive Oil', 'Thyme']","['Banana', 'Tea']",Thai,Summer,Good for Heart Health,30,12,"['A', 'D']"
Apple,"['Olive Oil', 'Lemon', 'Rosemary']","['Orange', 'Peanut Butter']",Indian,Summer,Supports Digestion,15,2,"['C', 'E']"
Asparagus,"['Basil', 'Honey', 'Soy Sauce']","['Tea', 'Orange']",Chinese,Fall,High in Protein,30,5,"['E', 'C']"
Mushroom,"['Thyme', 'Lemon', 'Soy Sauce']","['Milk', 'Chocolate']",French,Spring,Supports Digestion,30,18,"['K', 'C']"
Chicken,"['Garlic', 'Parmesan', 'Honey']","['Milk', 'Orange']",Indian,Fall,High in Protein,15,2,"['E', 'D']"
Brussels Sprouts,"['Ginger', 'Honey', 'Garlic']","['Cucumber', 'Chocolate']",Korean,Summer,Boosts Immunity,25,18,"['D', 'E']"
Tomato,"['Soy Sauce', 'Garlic', 'Olive Oil']","['Banana', 'Cucumber']",Japanese,Winter,High in Protein,10,15,"['D', 'K']"
Brussels Sprouts,"['Garlic', 'Honey', 'Basil']","['Vinegar', 'Orange']",French,Summer,Good for Heart Health,30,5,"['C', 'A']"
Asparagus,"['Lemon', 'Parmesan', 'Rosemary']","['Vinegar', 'Coffee']",Mexican,Spring,Supports Digestion,10,8,"['D', 'A']"
Beef,"['Rosemary', 'Ginger', 'Honey']","['Cucumber', 'Tea']",Italian,Spring,Rich in Antioxidants,15,5,"['A', 'B']"
Beef,"['Basil', 'Rosemary', 'Parmesan']","['Coffee', 'Banana']",Mediterranean,Summer,Good for Heart Health,30,12,"['E', 'K']"
Tomato,"['Lemon', 'Rosemary', 'Thyme']","['Ketchup', 'Chocolate']",Korean,Fall,Boosts Immunity,30,5,"['C', 'B']"
Salmon,"['Garlic', 'Basil', 'Parmesan']","['Ketchup', 'Tea']",French,Fall,High in Protein,15,2,"['D', 'C']"
Brussels Sprouts,"['Honey', 'Olive Oil', 'Garlic']","['Vinegar', 'Banana']",Korean,Winter,Boosts Immunity,10,2,"['B', 'E']"
Asparagus,"['Soy Sauce', 'Lemon', 'Ginger']","['Orange', 'Ketchup']",Chinese,Fall,High in Protein,5,15,"['C', 'B']"
Salmon,"['Parmesan', 'Ginger', 'Rosemary']","['Peanut Butter', 'Ketchup']",Thai,Winter,Rich in Antioxidants,20,2,"['C', 'A']"
Chicken,"['Lemon', 'Thyme', 'Soy Sauce']","['Peanut Butter', 'Orange']",French,Spring,Supports Digestion,30,2,"['K', 'E']"
Tomato,"['Olive Oil', 'Lemon', 'Rosemary']","['Peanut Butter', 'Ketchup']",Chinese,Fall,Supports Digestion,30,5,"['B', 'D']"
Beef,"['Basil', 'Soy Sauce', 'Ginger']","['Cucumber', 'Milk']",Italian,Spring,High in Protein,15,12,"['E', 'D']"
Pumpkin,"['Ginger', 'Rosemary', 'Garlic']","['Banana', 'Coffee']",Mexican,Winter,Rich in Antioxidants,5,15,"['A', 'B']"
Asparagus,"['Thyme', 'Soy Sauce', 'Parmesan']","['Ketchup', 'Milk']",Chinese,Winter,Good for Heart Health,30,8,"['D', 'A']"
Chicken,"['Garlic', 'Rosemary', 'Olive Oil']","['Coffee', 'Tea']",Korean,Spring,Good for Heart Health,10,5,"['D', 'C']"
Asparagus,"['Rosemary', 'Lemon', 'Parmesan']","['Vinegar', 'Peanut Butter']",American,Summer,Rich in Antioxidants,25,15,"['K', 'E']"
Tomato,"['Honey', 'Soy Sauce', 'Olive Oil']","['Vinegar', 'Orange']",French,Summer,Rich in Antioxidants,30,5,"['B', 'A']"
